iter	Logloss
0	0.6841838186
1	0.6750570622
2	0.6608145404
3	0.650493957
4	0.6385851485
5	0.6321564631
6	0.6245772777
7	0.6169406212
8	0.6021873365
9	0.5921954612
10	0.5777119595
11	0.5701901888
12	0.5592354781
13	0.5513945993
14	0.5449628936
15	0.5381967055
16	0.5340880995
17	0.5284572628
18	0.521371453
19	0.5164435118
20	0.5094984206
21	0.5049732739
22	0.4962961474
23	0.4900557801
24	0.483131419
25	0.4790455162
26	0.4745019328
27	0.4697108574
28	0.4678820759
29	0.4643065189
30	0.4580093631
31	0.4531534963
32	0.4510743524
33	0.4473208245
34	0.4414333601
35	0.4396500717
36	0.435291285
37	0.4280571767
38	0.4256379217
39	0.4206768489
40	0.4153501447
41	0.4123322796
42	0.4066719216
43	0.4019148535
44	0.3958118907
45	0.3926908274
46	0.3902271619
47	0.3868134277
48	0.3812397845
49	0.3785649911
50	0.3723784394
51	0.369584275
52	0.3666625499
53	0.3643843987
54	0.3596568119
55	0.35614132
56	0.3512967616
57	0.3463808075
58	0.3438151485
59	0.3393000819
60	0.3345161339
61	0.3291853625
62	0.3267806842
63	0.322688327
64	0.3196455161
65	0.3145487878
66	0.3094136785
67	0.3049185517
68	0.3029822828
69	0.2992771277
70	0.2946498394
71	0.291809297
72	0.2869535133
73	0.2841101996
74	0.2811023643
75	0.2779662803
76	0.2749939963
77	0.2698453835
78	0.2642598534
79	0.2601906138
80	0.2570999573
81	0.2531141818
82	0.2479403741
83	0.2441155852
84	0.2403783287
85	0.2384446589
86	0.2355614689
87	0.2339841973
88	0.2309002207
89	0.2281670059
90	0.2224746573
91	0.2187065767
92	0.2177752726
93	0.2149796392
94	0.2116761971
95	0.2075798171
96	0.2034481417
97	0.2009246807
98	0.195276453
99	0.1936348577
