iter	Passed	Remaining
0	18	1813
1	35	1717
2	50	1632
3	65	1577
4	80	1537
5	95	1502
6	111	1482
7	126	1459
8	143	1455
9	159	1439
10	174	1410
11	185	1361
12	198	1328
13	210	1292
14	221	1257
15	235	1235
16	248	1213
17	262	1193
18	276	1176
19	289	1159
20	303	1140
21	316	1123
22	332	1114
23	344	1091
24	357	1073
25	370	1054
26	382	1034
27	395	1017
28	407	998
29	419	978
30	431	959
31	443	941
32	454	922
33	465	903
34	476	884
35	486	865
36	498	848
37	508	829
38	518	811
39	529	793
40	539	776
41	550	759
42	561	743
43	571	726
44	579	708
45	588	690
46	597	674
47	606	657
48	615	640
49	624	624
50	632	607
51	641	591
52	649	576
53	658	560
54	667	545
55	676	531
56	684	516
57	693	502
58	702	488
59	711	474
60	719	460
61	728	446
62	736	432
63	745	419
64	754	406
65	761	392
66	770	379
67	777	366
68	786	353
69	793	339
70	800	326
71	806	313
72	813	300
73	819	287
74	825	275
75	832	262
76	838	250
77	845	238
78	851	226
79	858	214
80	865	202
81	872	191
82	879	180
83	886	168
84	893	157
85	901	146
86	908	135
87	915	124
88	922	114
89	930	103
90	937	92
91	944	82
92	952	71
93	959	61
94	966	50
95	974	40
96	983	30
97	991	20
98	999	10
99	1008	0
